tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
37001,37500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.33289559999999996
37501,38000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3285153947368421
38001,38500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.324248961038961
38501,39000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3200919230769231
39001,39500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.3160401265822784
39501,40000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.31208962500000004
40001,40500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.30823666666666666
40501,41000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.30447768292682925
41001,41500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.30080927710843375
41501,42000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2972282142857143
42001,42500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2937314117647059
42501,43000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.29031593023255814
43001,43500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.28697896551724145
43501,44000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2837178409090909
44001,44500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.28053000000000006
44501,45000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.277413
45001,45500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.27436450549450553
45501,46000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2713822826086956
46001,46500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2684641935483871
46501,47000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2656081914893617
47001,47500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2628123157894737
47501,48000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2600746875
48001,48500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.25739350515463916
48501,49000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.25476704081632656
49001,49500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.25219363636363634
49501,50000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.24967169999999997
50001,50500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.247199702970297
50501,51000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.24477617647058822
51001,51500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2423997087378641
51501,52000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2400689423076923
52001,52500,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.23778257142857143
52501,53000,500,0.0,0,6000,0,0,,10425.150000000001,0.0,1820.0999999999997,0,0,0.0,0.2355393396226415
