tick_inicio,tick_fin,ticks_ventana,throughput_ventana,pedidos_completados_ventana,pedidos_completados_acumulados,pedidos_pendientes_cola,pedidos_en_proceso,p95_pedido_ventana,p95_pedido_acumulado,p95_espera_ventana,p95_espera_acumulado,eventos_congestion_ventana,deadlocks_acumulados,utilizacion_ventana,utilizacion_acumulada
115001,115500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21908883116883118
115501,116000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.2181444827586207
116001,116500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21720824034334765
116501,117000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21628
117001,117500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21535965957446807
117501,118000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21444711864406782
118001,118500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21354227848101268
118501,119000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21264504201680673
119001,119500,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21175531380753138
119501,120000,500,0.0,0,12000,0,0,,22188.0,0.0,4858.15,0,0,0.0,0.21087299999999998
